"Express Checkout and Order have been canceled.","Finalização de compra express e pedido foram cancelados."
"Express Checkout has been canceled.","Finalização de compra express foi cancelado."
"Fetch","Buscar"
"PayPal Express Checkout Token does not exist.","Token de finalização de compra express do PayPal não existe."
"PayPal Express Order Review Form","Formulário de pedito express do PayPal"
"PayPal Settlement Reports","Relatórios de pagamentos do PayPal"
"Pending PayPal","PayPal pendente"
"Reports","Relatórios"
"Sales","Vendas"
"Solo","Único"
"Switch/Maestro","Switch/Maestro"
"Unable to cancel Express Checkout.","Não foi possível cancelar finalização de compra express."
"Unable to initialize Express Checkout review.","Não foi possível inicializar análise de finalização de compra express."
"Unable to place the order.","Não foi possível confirmar o pedido."
"Unable to process Express Checkout approval.","Não foi possível processar aprovação de finalização de compra express."
"Unable to start Express Checkout.","Não foi possível iniciar finalização de compra express."
"Unable to update shipping method.","Não foi possível atualizar método de envio."
"View","Ver"
"View Transaction","Ver transação"
"Wrong PayPal Express Checkout Token specified.","Token especificado de finalização de compra express do PayPal incorreto."
"You will be redirected to the PayPal website in a few seconds.","Você será redirecionado para o website do PayPal em alguns segundos."
