"-- Please select --","-- Por favor, selecione --"
"Allowed Currencies","Moedas permitidas"
"Base Currency","Moeda padrão"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Moeda padrão é utilizada para todas as transações de pagamentos online. Escopo é definido pelo escopo de preço do catálogo (""Catálogo"" > ""Preço"" > ""Escopo de preço do catálogo"")."
"Cannot retrieve rate from %s.","Não foi possível obter taxa de %s."
"Connection Timeout in Seconds","Timeout da conexão em segundos"
"Continue &raquo;","Continuar &raquo;"
"Country","País"
"Country Api","API do país"
"Country and Format Type combination should be unique","Combinação de país e tipo de formato deve ser única"
"Currency","Moeda"
"Currency Options","Opções de moeda"
"Currency Setup","Configuração de moeda"
"Currency Update Warnings","Alertas de atualização de moeda"
"Default Display Currency","Moeda de visualização padrão"
"Directory","Diretório"
"Enabled","Habilitado"
"Error Email Recipient","Destinatário de e-mail de erro"
"Error Email Sender","Remetente de e-mail de erro"
"Error Email Template","Template de e-mail de erro"
"FATAL ERROR:","ERRO FATAL:"
"Frequency","Freqüência"
"Installed Currencies","Moedas instaladas"
"Invalid Import Service specified.","Serviço inválido de importação especificado."
"Invalid country code: %s","Código de país inválido: %s"
"Invalid rates received","Taxas inválidas recebidas"
"Invalid target currency.","Moeda de destino inválida."
"List of countries","Lista de países"
"List of regions in specified country","Lista de regiões em um país específico"
"Postal Code is Optional for the following countries","Código postal é opcional para os seguintes países"
"Region","Região"
"Region Api","API da região"
"Scheduled Import Settings","Configurações de importações programadas"
"Select Your Currency","Selecione sua moeda"
"Service","Serviço"
"Start Time","Horário de início"
"State/Province","Estado"
"Strikeiron Email Update Warnings","Alerta de atualização de e-mail strikeiron"
"Unable to initialize the import model.","Não foi possível inicializar o modelo de importação."
"Undefined rate from ""%s-%s"".","Taxa não definida de ""%s-%s""."
"WARNING:","ALERTA:"
"Webservicex","Webservicex"
"Your current currency is: %s","Sua moeda atual é: %s"
