"Add Recipient","Adicionar destinatário"
"Allow for Guests","Permitir convidados"
"An invalid email address for recipient was entered.","Foi inserido um endereço de e-mail inválido para destinatário."
"At least one recipient must be specified.","Pelo menos um destinatário deve ser especificado."
"Back","Voltar"
"Catalog Product Email to a Friend","Enviar catálogo do produto para um amigo"
"Email Address","Endereço de e-mail"
"Email Address:","Endereço de e-mail:"
"Email Templates","Templates de e-mail"
"Email to a Friend","Enviar para um amigo"
"Email:","E-mail:"
"Enabled","Habilitado"
"Invalid Sender Information","Informações do remetente inválida"
"Invalid sender email.","E-mail do remetente inválido."
"Limit Sending By","Limitar envio por"
"Max Products Sent in 1 Hour","Máximo de produtos enviados em 1 hora"
"Max Recipients","Máximo de destinatários"
"Maximum %d email addresses allowed.","Máximo %d endereços de e-mail permitido."
"Message:","Mensagem:"
"Name","Nome"
"Name:","Nome:"
"No more than %d emails can be sent at a time.","Não mais que %d e-mails podem ser enviados ao mesmo tempo."
"Please define a correct Cookie instance.","Por favor, defina uma instância de cookie correta."
"Please define a correct Product instance.","Por favor, defina uma instância de produto correta."
"Please define the correct Sender information.","Por favor, defina as informações de remetente corretas."
"Recipient:","Destinatário:"
"Remove Email","Remover e-mail"
"Select Email Template","Selecione um template de e-mail"
"Send Email","Enviar e-mail"
"Send product to a friend","Enviar produto para um amigo"
"Sender:","Remetente:"
"Some emails were not sent.","Alguns e-mails não foram enviados."
"The link to a friend was sent.","O link foi enviado para um amigo."
"The message cannot be empty.","A mensagem não pode ser vazia."
"The messages cannot be sent more than %d times in an hour","As mensagens não podem ser enviadas mais de %d vezes por hora"
"The sender name cannot be empty.","O nome do remetente não pode ser vazio."
"There were some problems with the data.","Existe alguns problemas com os dados."
"You have exceeded limit of %d sends in an hour","Você excedeu o limite de %d envios por hora"
