"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s foi adicionado(a) à sua lista de desejos. Clique <a href=""%2$s"">aqui</a> para continuar comprando"
"%d product(s) have been added to shopping cart: %s.","%d produto(s) adicionado(s) ao carrinho de compras: %s."
"%s's Wishlist","%s's lista de desejos"
"* Required Fields","* Campos obrigatórios"
"Add All to Cart","Adicionar todos ao carrinho"
"Add to Cart","Adicionar ao carrinho"
"Add to Wishlist","Adicionar à lista de desejos"
"Added On","Adicionado em"
"An error occurred while adding item to wishlist.","Ocorreu um erro ao adicionar item à lista de desejos."
"An error occurred while adding item to wishlist: %s","Ocorreu um erro ao adicionar item à lista de desejos: %s"
"An error occurred while deleting the item from wishlist.","Ocorreu um erro ao remover item da lista de desejos."
"An error occurred while deleting the item from wishlist: %s","Ocorreu um erro ao remover item da lista de desejos: %s"
"Are you sure you want to remove this product from your wishlist?","Você tem certeza que deseja remover este produto da sua lista de desejos?"
"Are you sure you would like to remove this item from the wishlist?","Você tem certeza que deseja remover este item de sua lista de desejos?"
"Back","Voltar"
"Can\'t save description %s","Não foi possível salvar descrição %s"
"Can\'t update wishlist","Não foi possível atualizar lista de desejos"
"Cannot add item to shopping cart","Não foi possível adicionar item ao carrinho de compras"
"Cannot add the item to shopping cart.","Não foi possível adicionar item ao carrinho de compras."
"Cannot create wishlist.","Não foi possível criar lista de desejos."
"Cannot specify product.","Não foi possível especificar o produto."
"Cannot specify wishlist.","Não foi possível especificar a lista de desejos."
"Cannot update wishlist","Não foi possível atualizar a lista de desejos"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Selecione esta caixa de seleção se você deseja adicionar um link para um RSS Feed para sua lista de desejos."
"Comment","Comentário"
"Comment:","Comentário:"
"Customer My Account My Wishlist","Minha lista de desejos da minha conta de cliente"
"Customer My Account Wishlist Sharing Form","Formulário de compartilhamento da lista de desejos da minha conta de cliente"
"Customer Shared Wishlist View","Ver lista de desejos compartilhada do cliente"
"Email Sender","Remetente do e-mail"
"Email Template","Template de e-mail"
"Email address can\'t be empty.","Endereço de e-mail não pode ser vazio."
"Email addresses, separated by commas","Endereços de e-mail separados por vírgulas"
"Enabled","Habilitado"
"General Options","Opções gerais"
"Go to Wishlist","Ir para lista de desejos"
"Last Added Items","Últimos itens adicionados"
"Message","Mensagem"
"My Wishlist","Minha lista de desejos"
"My Wishlist (%d item)","Minha lista de desejos (%d item)"
"My Wishlist (%d items)","Minha lista de desejos (%d itens)"
"My Wishlist <small>(%d)</small>","Minha lista de desejos <small>(%d)</small>"
"Out of stock","Esgotado"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Por favor, insira endereços de e-mail válidos separados por vírgulas. Por exemplo joao@dominio.com.br, jose@dominio.com.br"
"Please enter your comments...","Por favor, insira seus comentários..."
"Please input a valid email address.","Por favor, insira um endereço de e-mail válido."
"Please, enter your comments...","Por favor, insira seus comentários..."
"Product","Produto"
"Product(s) %s are grouped. Each of them can be added to cart separately only.","Produtos %s estão agrupados. Cada um deles pode ser adicionado ao carrinho somente separado."
"Product(s) %s have required options. Each of them can be added to cart separately only.","Produtos %s possuem opções obrigatórias. Cada um deles pode ser adicionado ao carrinho somente separado."
"RSS Feed","RSS Feed"
"RSS link to %s's wishlist","Link RSS para lista de desejos de %s"
"Remove Item","Remover item"
"Remove This Item","Remover este item"
"Remove item","Remover item"
"Share Options","Opções de compartilhamento"
"Share Wishlist","Compartilhar lista de desejos"
"Share Your Wishlist","Compartilhar sua lista de desejos"
"Sharing Information","Informações de compartilhamento"
"This product(s) is currently out of stock","Este(s) produto(s) está(ão) esgotado(s)"
"Unable to add the following product(s) to shopping cart: %s.","Não foi possível adicionar os seguintes produtos ao carrinho de compras: %s."
"Update Wishlist","Atualizar lista de desejos"
"View Product","Ver produto"
"Wishlist","Lista de desejos"
"Wishlist Section","Seção da lista de desejos"
"Wishlist Sharing","Compartilhamento da lista de desejos"
"Wishlist is empty now.","Lista de desejos está vazia agora."
"You have no items in your wishlist.","Não há itens na sua lista de desejos."
"Your Wishlist has been shared.","Sua lista de desejos foi compartilhada."
